0.001022 0.999571 0.492000
0.002044 0.999153 0.491000
0.003066 0.998724 0.492000
0.004088 0.998286 0.493000
0.005110 0.997839 0.494000
0.006132 0.997381 0.495000
0.007154 0.996914 0.496000
0.008177 0.996437 0.497000
0.009199 0.995971 0.496000
0.010221 0.995515 0.495000
0.011243 0.995050 0.496000
0.012265 0.994574 0.497000
0.013288 0.994090 0.498000
0.014310 0.993595 0.499000
0.015332 0.993111 0.498000
0.016354 0.992617 0.499000
0.017376 0.992114 0.500000
0.018399 0.991601 0.501000
0.019421 0.991078 0.502000
0.020443 0.990546 0.503000
0.021466 0.990004 0.504000
0.022488 0.989452 0.505000
0.023511 0.988890 0.506000
0.024533 0.988339 0.505000
0.025556 0.987799 0.504000
0.026578 0.987270 0.503000
0.027600 0.986752 0.502000
0.028622 0.986244 0.501000
0.029645 0.985747 0.500000
0.030667 0.985241 0.501000
0.031689 0.984745 0.500000
0.032711 0.984239 0.501000
0.033733 0.983744 0.500000
0.034755 0.983240 0.501000
0.035777 0.982726 0.502000
0.036799 0.982202 0.503000
0.037821 0.981689 0.502000
0.038844 0.981186 0.501000
0.039866 0.980694 0.500000
0.040888 0.980193 0.501000
0.041910 0.979682 0.502000
0.042932 0.979181 0.501000
0.043954 0.978692 0.500000
0.044976 0.978192 0.501000
0.045997 0.977683 0.502000
0.047019 0.977164 0.503000
0.048041 0.976656 0.502000
0.049063 0.976138 0.503000
0.050085 0.975611 0.504000
0.051107 0.975094 0.503000
0.052129 0.974588 0.502000
0.053151 0.974072 0.503000
0.054173 0.973547 0.504000
0.055195 0.973032 0.503000
0.056217 0.972508 0.504000
0.057239 0.971974 0.505000
0.058261 0.971450 0.504000
0.059283 0.970938 0.503000
0.060305 0.970415 0.504000
0.061327 0.969904 0.503000
0.062349 0.969403 0.502000
0.063371 0.968913 0.501000
0.064392 0.968413 0.502000
0.065414 0.967924 0.501000
0.066436 0.967446 0.500000
0.067457 0.966978 0.499000
0.068479 0.966501 0.500000
0.069501 0.966013 0.501000
0.070522 0.965517 0.502000
0.071544 0.965010 0.503000
0.072566 0.964494 0.504000
0.073587 0.963988 0.503000
0.074609 0.963493 0.502000
0.075631 0.962988 0.503000
0.076652 0.962495 0.502000
0.077674 0.961991 0.503000
0.078696 0.961478 0.504000
0.079717 0.960975 0.503000
0.080739 0.960463 0.504000
0.081761 0.959941 0.505000
0.082782 0.959429 0.504000
0.083804 0.958908 0.505000
0.084826 0.958398 0.504000
0.085847 0.957898 0.503000
0.086869 0.957409 0.502000
0.087890 0.956911 0.503000
0.088912 0.956423 0.502000
0.089933 0.955946 0.501000
0.090955 0.955459 0.502000
0.091976 0.954962 0.503000
0.092998 0.954456 0.504000
0.094019 0.953940 0.505000
0.095041 0.953414 0.506000
0.096062 0.952899 0.505000
0.097084 0.952374 0.506000
0.098105 0.951860 0.505000
0.099127 0.951356 0.504000
0.100148 0.950843 0.505000
0.101170 0.950341 0.504000
0.102191 0.949829 0.505000
0.103213 0.949328 0.504000
0.104234 0.948837 0.503000
0.105255 0.948357 0.502000
0.106277 0.947888 0.501000
